צנתר
פיעל	עבר 	ראשון	זכר 	יחיד	_צ_נ_ת_רתי
פועל	הווה	ראשון	נקבה	יחיד	מ_צו_נ_ת_רת
פועל	הווה	שני 	זכר 	יחיד	מ_צו_נ_ת_ר
פועל	הווה	שני 	נקבה	יחיד	מ_צו_נ_ת_רת
פועל	הווה	שלישי	זכר 	יחיד	מ_צו_נ_ת_ר
פועל	הווה	שלישי	נקבה	יחיד	מ_צו_נ_ת_רת
פועל	הווה	ראשון	זכר 	רבים	מ_צו_נ_ת_רימ
פועל	הווה	ראשון	נקבה	רבים	מ_צו_נ_ת_רות
פועל	הווה	שני 	זכר 	רבים	מ_צו_נ_ת_רימ
פועל	הווה	שני 	נקבה	רבים	מ_צו_נ_ת_רות
פועל	הווה	שלישי	זכר 	רבים	מ_צו_נ_ת_רימ
פועל	הווה	שלישי	נקבה	רבים	מ_צו_נ_ת_רות
פועל	עתיד	ראשון	זכר 	יחיד	א_צו_נ_ת_ר
פועל	עתיד	ראשון	נקבה	יחיד	א_צו_נ_ת_ר
פועל	עתיד	שני 	זכר 	יחיד	ת_צו_נ_ת_ר
פועל	עתיד	שני 	נקבה	יחיד	ת_צו_נ_ת_רי
פועל	עתיד	שלישי	זכר 	יחיד	י_צו_נ_ת_ר
פועל	עתיד	שלישי	נקבה	יחיד	ת_צו_נ_ת_ר
פועל	עתיד	ראשון	זכר 	רבים	נ_צו_נ_ת_ר
פועל	עתיד	ראשון	נקבה	רבים	נ_צו_נ_ת_ר
פועל	עתיד	שני 	זכר 	רבים	ת_צו_נ_ת_רו
פועל	עתיד	שני 	נקבה	רבים	ת_צו_נ_ת_רנה
פועל	עתיד	שלישי	זכר 	רבים	י_צו_נ_ת_רו
פועל	עתיד	שלישי	נקבה	רבים	ת_צו_נ_ת_רנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_צט_נ_ת_רתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_צט_נ_ת_רתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_צט_נ_ת_רת
התפעל	עבר 	שני 	נקבה	יחיד	ה_צט_נ_ת_רת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_צט_נ_ת_ר
התפעל	עבר 	שלישי	נקבה	יחיד	ה_צט_נ_ת_רה
התפעל	עבר 	ראשון	זכר 	רבים	ה_צט_נ_ת_רנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_צט_נ_ת_רנו
התפעל	עבר 	שני 	זכר 	רבים	ה_צט_נ_ת_רתמ
התפעל	עבר 	שני 	נקבה	רבים	ה_צט_נ_ת_רתנ
התפעל	עבר 	שלישי	זכר 	רבים	ה_צט_נ_ת_רו
התפעל	עבר 	שלישי	נקבה	רבים	ה_צט_נ_ת_רו
התפעל	הווה	ראשון	זכר 	יחיד	מ_צט_נ_ת_ר
התפעל	הווה	ראשון	נקבה	יחיד	מ_צט_נ_ת_רת
התפעל	הווה	שני 	זכר 	יחיד	מ_צט_נ_ת_ר
התפעל	הווה	שני 	נקבה	יחיד	מ_צט_נ_ת_רת
התפעל	הווה	שלישי	זכר 	יחיד	מ_צט_נ_ת_ר
התפעל	הווה	שלישי	נקבה	יחיד	מ_צט_נ_ת_רת
התפעל	הווה	ראשון	זכר 	רבים	מ_צט_נ_ת_רימ
התפעל	הווה	ראשון	נקבה	רבים	מ_צט_נ_ת_רות
התפעל	הווה	שני 	זכר 	רבים	מ_צט_נ_ת_רימ
התפעל	הווה	שני 	נקבה	רבים	מ_צט_נ_ת_רות
התפעל	הווה	שלישי	זכר 	רבים	מ_צט_נ_ת_רימ
התפעל	הווה	שלישי	נקבה	רבים	מ_צט_נ_ת_רות
התפעל	עתיד	ראשון	זכר 	יחיד	א_צט_נ_ת_ר
התפעל	עתיד	ראשון	נקבה	יחיד	א_צט_נ_ת_ר
התפעל	עתיד	שני 	זכר 	יחיד	ת_צט_נ_ת_ר
התפעל	עתיד	שני 	נקבה	יחיד	ת_צט_נ_ת_רי
התפעל	עתיד	שלישי	זכר 	יחיד	י_צט_נ_ת_ר
התפעל	עתיד	שלישי	נקבה	יחיד	ת_צט_נ_ת_ר
התפעל	עתיד	ראשון	זכר 	רבים	נ_צט_נ_ת_ר
התפעל	עתיד	ראשון	נקבה	רבים	נ_צט_נ_ת_ר
התפעל	עתיד	שני 	זכר 	רבים	ת_צט_נ_ת_רו
התפעל	עתיד	שני 	נקבה	רבים	ת_צט_נ_ת_רנה
התפעל	עתיד	שלישי	זכר 	רבים	י_צט_נ_ת_רו
התפעל	עתיד	שלישי	נקבה	רבים	ת_צט_נ_ת_רנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_צט_נ_ת_ר
התפעל	ציווי	שני 	נקבה	יחיד	ה_צט_נ_ת_רי
התפעל	ציווי	שני 	זכר 	רבים	ה_צט_נ_ת_רו
התפעל	ציווי	שני 	נקבה	רבים	ה_צט_נ_ת_רנה
