נטי
פעל 	הווה	_	_ 	_	לנ_טות
פעל 	עתיד	שני 	זכר 	יחיד	תנ_טה
פעל 	עתיד	שני 	נקבה	יחיד	תנ_טי
פעל 	עתיד	שלישי	זכר 	יחיד	ינ_טה
פעל 	עתיד	שלישי	נקבה	יחיד	תנ_טה
פעל 	עתיד	ראשון	זכר 	רבים	ננ_טה
פעל 	עתיד	ראשון	נקבה	רבים	ננ_טה
פעל 	עתיד	שני 	זכר 	רבים	תנ_ט_יו
פעל 	עתיד	שני 	נקבה	רבים	תנ_טינה
פעל 	עתיד	שלישי	זכר 	רבים	ינ_ט_יו
פעל 	עתיד	שלישי	נקבה	רבים	תנ_טינה
פעל 	ציווי	שני 	זכר 	יחיד	נ_טו
פעל 	ציווי	שני 	נקבה	יחיד	ני_ט_יי
פעל 	ציווי	שני 	זכר 	רבים	ני_ט_יו
פעל 	ציווי	שני 	נקבה	רבים	נ_טינה
נפעל	עבר 	ראשון	זכר 	יחיד	ננ_ט_יתי
נפעל	עבר 	ראשון	נקבה	יחיד	ננ_ט_יתי
נפעל	עבר 	שני 	זכר 	יחיד	ננ_ט_ית
נפעל	עבר 	שני 	נקבה	יחיד	ננ_ט_ית
נפעל	עבר 	שלישי	זכר 	יחיד	ננ_ט_י
נפעל	עבר 	שלישי	נקבה	יחיד	ננ_ט_יה
נפעל	עבר 	ראשון	זכר 	רבים	ננ_ט_ינו
נפעל	עבר 	ראשון	נקבה	רבים	ננ_ט_ינו
נפעל	עבר 	שני 	זכר 	רבים	ננ_ט_יתמ
נפעל	עבר 	שני 	נקבה	רבים	ננ_ט_יתנ
נפעל	עבר 	שלישי	זכר 	רבים	ננ_ט_יו
נפעל	עבר 	שלישי	נקבה	רבים	ננ_ט_יו
נפעל	הווה	ראשון	זכר 	יחיד	ננ_ט_י
נפעל	הווה	ראשון	נקבה	יחיד	ננ_ט_ית
נפעל	הווה	שני 	זכר 	יחיד	ננ_ט_י
נפעל	הווה	שני 	נקבה	יחיד	ננ_ט_ית
נפעל	הווה	שלישי	זכר 	יחיד	ננ_ט_י
נפעל	הווה	שלישי	נקבה	יחיד	ננ_ט_ית
נפעל	הווה	ראשון	זכר 	רבים	ננ_טימ
נפעל	הווה	ראשון	נקבה	רבים	ננ_טות
נפעל	הווה	שני 	זכר 	רבים	ננ_טימ
נפעל	הווה	שני 	נקבה	רבים	ננ_טות
נפעל	הווה	שלישי	זכר 	רבים	ננ_טימ
נפעל	הווה	שלישי	נקבה	רבים	ננ_טות
נפעל	עתיד	ראשון	זכר 	יחיד	אנ_טה
נפעל	עתיד	ראשון	נקבה	יחיד	אנ_טה
נפעל	עתיד	שני 	זכר 	יחיד	תינ_טה
נפעל	עתיד	שני 	נקבה	יחיד	תינ_טי
נפעל	עתיד	שלישי	זכר 	יחיד	יינ_טה
נפעל	עתיד	שלישי	נקבה	יחיד	תינ_טה
נפעל	עתיד	ראשון	זכר 	רבים	ננ_טה
נפעל	עתיד	ראשון	נקבה	רבים	ננ_טה
נפעל	עתיד	שני 	זכר 	רבים	תינ_טו
נפעל	עתיד	שני 	נקבה	רבים	תינ_טינה
נפעל	עתיד	שלישי	זכר 	רבים	יינ_טו
נפעל	עתיד	שלישי	נקבה	רבים	תינ_טינה
נפעל	ציווי	שני 	זכר 	יחיד	הנ_טה
נפעל	ציווי	שני 	נקבה	יחיד	הנ_טי
נפעל	ציווי	שני 	זכר 	רבים	הנ_טו
נפעל	ציווי	שני 	נקבה	רבים	הנ_טינה
פיעל	עבר 	ראשון	זכר 	יחיד	ה_טיתי
פיעל	עבר 	ראשון	נקבה	יחיד	ה_טיתי
פיעל	עבר 	שני 	זכר 	יחיד	ה_טית
פיעל	עבר 	שני 	נקבה	יחיד	ה_טית
פיעל	עבר 	שלישי	זכר 	יחיד	הי_טה
פיעל	עבר 	שלישי	נקבה	יחיד	הי_טתה
פיעל	עבר 	ראשון	זכר 	רבים	ה_טינו
פיעל	עבר 	ראשון	נקבה	רבים	ה_טינו
פיעל	עבר 	שני 	זכר 	רבים	ה_טיתמ
פיעל	עבר 	שני 	נקבה	רבים	ה_טיתנ
פיעל	עבר 	שלישי	זכר 	רבים	ה_טו
פיעל	עבר 	שלישי	נקבה	רבים	ה_טו
פיעל	הווה	ראשון	זכר 	יחיד	מ_טה
פיעל	הווה	ראשון	נקבה	יחיד	מ_טה
פיעל	הווה	שני 	זכר 	יחיד	מ_טה
פיעל	הווה	שני 	נקבה	יחיד	מ_טה
פיעל	הווה	שלישי	זכר 	יחיד	מ_טה
פיעל	הווה	שלישי	נקבה	יחיד	מ_טה
פיעל	הווה	ראשון	זכר 	רבים	מ_טימ
פיעל	הווה	ראשון	נקבה	רבים	מ_טות
פיעל	הווה	שני 	זכר 	רבים	מ_טימ
פיעל	הווה	שני 	נקבה	רבים	מ_טות
פיעל	הווה	שלישי	זכר 	רבים	מ_טימ
פיעל	הווה	שלישי	נקבה	רבים	מ_טות
פיעל	עתיד	ראשון	זכר 	יחיד	א_טה
פיעל	עתיד	ראשון	נקבה	יחיד	א_טה
פיעל	עתיד	שני 	זכר 	יחיד	ת_טה
פיעל	עתיד	שני 	נקבה	יחיד	ת_טי
פיעל	עתיד	שלישי	זכר 	יחיד	י_טה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_טה
פיעל	עתיד	ראשון	זכר 	רבים	נ_טה
פיעל	עתיד	ראשון	נקבה	רבים	נ_טה
פיעל	עתיד	שני 	זכר 	רבים	ת_טו
פיעל	עתיד	שני 	נקבה	רבים	ת_טינה
פיעל	עתיד	שלישי	זכר 	רבים	י_טיו
פיעל	עתיד	שלישי	נקבה	רבים	ת_טינה
פיעל	ציווי	שני 	זכר 	יחיד	ה_טה
פיעל	ציווי	שני 	נקבה	יחיד	ה_טי
פיעל	ציווי	שני 	זכר 	רבים	ה_טו
פיעל	ציווי	שני 	נקבה	רבים	ה_טינה
פועל	עבר 	ראשון	זכר 	יחיד	נו_טיתי
פועל	עבר 	ראשון	נקבה	יחיד	נו_טיתי
פועל	עבר 	שני 	זכר 	יחיד	נו_טית
פועל	עבר 	שני 	נקבה	יחיד	נו_טית
פועל	עבר 	שלישי	זכר 	יחיד	נו_טה
פועל	עבר 	שלישי	נקבה	יחיד	נו_טה
פועל	עבר 	ראשון	זכר 	רבים	נו_טינו
פועל	עבר 	ראשון	נקבה	רבים	נו_טינו
פועל	עבר 	שני 	זכר 	רבים	נו_טיתמ
פועל	עבר 	שני 	נקבה	רבים	נו_טיתנ
פועל	עבר 	שלישי	זכר 	רבים	נו_טו
פועל	עבר 	שלישי	נקבה	רבים	נו_טו
פועל	הווה	ראשון	זכר 	יחיד	מו_טה
פועל	הווה	ראשון	נקבה	יחיד	מו_טית
פועל	הווה	שני 	זכר 	יחיד	מו_טה
פועל	הווה	שני 	נקבה	יחיד	מו_טית
פועל	הווה	שלישי	זכר 	יחיד	מו_טה
פועל	הווה	שלישי	נקבה	יחיד	מו_טית
פועל	הווה	ראשון	זכר 	רבים	מו_טימ
פועל	הווה	ראשון	נקבה	רבים	מו_טות
פועל	הווה	שני 	זכר 	רבים	מו_טימ
פועל	הווה	שני 	נקבה	רבים	מו_טות
פועל	הווה	שלישי	זכר 	רבים	מו_טימ
פועל	הווה	שלישי	נקבה	רבים	מו_טות
פועל	עתיד	ראשון	זכר 	יחיד	או_טה
פועל	עתיד	ראשון	נקבה	יחיד	או_טה
פועל	עתיד	שני 	זכר 	יחיד	תו_ט_י
פועל	עתיד	שני 	נקבה	יחיד	תו_טי
פועל	עתיד	שלישי	זכר 	יחיד	יו_טה
פועל	עתיד	שלישי	נקבה	יחיד	תו_טה
פועל	עתיד	ראשון	זכר 	רבים	נו_טה
פועל	עתיד	ראשון	נקבה	רבים	נו_טה
פועל	עתיד	שני 	זכר 	רבים	תו_טו
פועל	עתיד	שני 	נקבה	רבים	תו_טינה
פועל	עתיד	שלישי	זכר 	רבים	יו_טו
פועל	עתיד	שלישי	נקבה	רבים	תו_טינה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_טיתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_טיתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_טית
הפעיל	עבר 	שני 	נקבה	יחיד	ה_טית
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_טה
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_טה
הפעיל	עבר 	ראשון	זכר 	רבים	ה_טינו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_טינו
הפעיל	עבר 	שני 	זכר 	רבים	ה_טיתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_טיתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_טו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_טו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_טה
הפעיל	הווה	ראשון	נקבה	יחיד	מ_טה
הפעיל	הווה	שני 	זכר 	יחיד	מ_טה
הפעיל	הווה	שני 	נקבה	יחיד	מ_טה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_טה
הפעיל	הווה	שלישי	נקבה	יחיד	מ_טה
הפעיל	הווה	ראשון	זכר 	רבים	מ_טימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_טות
הפעיל	הווה	שני 	זכר 	רבים	מ_טימ
הפעיל	הווה	שני 	נקבה	רבים	מ_טות
הפעיל	הווה	שלישי	זכר 	רבים	מ_טימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_טות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_טה
הפעיל	עתיד	ראשון	נקבה	יחיד	א_טה
הפעיל	עתיד	שני 	זכר 	יחיד	ת_טה
הפעיל	עתיד	שני 	נקבה	יחיד	ת_טי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_טו
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_טה
הפעיל	עתיד	ראשון	זכר 	רבים	נ_טה
הפעיל	עתיד	ראשון	נקבה	רבים	נ_טה
הפעיל	עתיד	שני 	זכר 	רבים	ת_טו
הפעיל	עתיד	שני 	נקבה	רבים	ת_טינה
הפעיל	עתיד	שלישי	זכר 	רבים	י_טו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_טינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_טה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_טי
הפעיל	ציווי	שני 	זכר 	רבים	ה_טו
הפעיל	ציווי	שני 	נקבה	רבים	ה_טינה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_טיתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_טיתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_טית
הופעל	עבר 	שני 	נקבה	יחיד	הו_טית
הופעל	עבר 	שלישי	זכר 	יחיד	הו_טה
הופעל	עבר 	שלישי	נקבה	יחיד	הו_טה
הופעל	עבר 	ראשון	זכר 	רבים	הו_טינו
הופעל	עבר 	ראשון	נקבה	רבים	הו_טינו
הופעל	עבר 	שני 	זכר 	רבים	הו_טיתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_טיתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_טו
הופעל	עבר 	שלישי	נקבה	רבים	הו_טו
הופעל	הווה	ראשון	זכר 	יחיד	מו_טה
הופעל	הווה	ראשון	נקבה	יחיד	מו_טית
הופעל	הווה	ראשון	נקבה	יחיד	מו_טה
הופעל	הווה	שני 	זכר 	יחיד	מו_טה
הופעל	הווה	שני 	נקבה	יחיד	מו_טית
הופעל	הווה	שני 	נקבה	יחיד	מו_טה
הופעל	הווה	שלישי	זכר 	יחיד	מו_טה
הופעל	הווה	שלישי	נקבה	יחיד	מו_טית
הופעל	הווה	שלישי	נקבה	יחיד	מו_טה
הופעל	הווה	ראשון	זכר 	רבים	מו_טימ
הופעל	הווה	ראשון	נקבה	רבים	מו_טות
הופעל	הווה	שני 	זכר 	רבים	מו_טימ
הופעל	הווה	שני 	נקבה	רבים	מו_טות
הופעל	הווה	שלישי	זכר 	רבים	מו_טימ
הופעל	הווה	שלישי	נקבה	רבים	מו_טות
הופעל	עתיד	ראשון	זכר 	יחיד	או_טה
הופעל	עתיד	ראשון	נקבה	יחיד	או_טה
הופעל	עתיד	שני 	זכר 	יחיד	תו_טה
הופעל	עתיד	שני 	נקבה	יחיד	תו_טי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_טה
הופעל	עתיד	שלישי	נקבה	יחיד	תו_טה
הופעל	עתיד	ראשון	זכר 	רבים	נו_טה
הופעל	עתיד	ראשון	נקבה	רבים	נו_טה
הופעל	עתיד	שני 	זכר 	רבים	תו_טו
הופעל	עתיד	שני 	נקבה	רבים	תו_טינה
הופעל	עתיד	שלישי	זכר 	רבים	יו_טו
הופעל	עתיד	שלישי	נקבה	רבים	תו_טינה
התפעל	עבר 	ראשון	זכר 	יחיד	התנ_טיתי
התפעל	עבר 	ראשון	נקבה	יחיד	התנ_טיתי
התפעל	עבר 	שני 	זכר 	יחיד	התנ_טית
התפעל	עבר 	שני 	נקבה	יחיד	התנ_טית
התפעל	עבר 	שלישי	זכר 	יחיד	התנ_טי
התפעל	עבר 	שלישי	נקבה	יחיד	התנ_טתה
התפעל	עבר 	ראשון	זכר 	רבים	התנ_טינו
התפעל	עבר 	ראשון	נקבה	רבים	התנ_טינו
התפעל	עבר 	שני 	זכר 	רבים	התנ_טיתמ
התפעל	עבר 	שני 	נקבה	רבים	התנ_טיתנ
התפעל	עבר 	שלישי	זכר 	רבים	התנ_טו
התפעל	עבר 	שלישי	נקבה	רבים	התנ_טו
התפעל	הווה	ראשון	זכר 	יחיד	מתנ_טה
התפעל	הווה	ראשון	נקבה	יחיד	מתנ_טה
התפעל	הווה	שני 	זכר 	יחיד	מתנ_טה
התפעל	הווה	שני 	נקבה	יחיד	מתנ_טה
התפעל	הווה	שלישי	זכר 	יחיד	מתנ_טה
התפעל	הווה	שלישי	נקבה	יחיד	מתנ_טה
התפעל	הווה	ראשון	זכר 	רבים	מתנ_טימ
התפעל	הווה	ראשון	נקבה	רבים	מתנ_טות
התפעל	הווה	שני 	זכר 	רבים	מתנ_טימ
התפעל	הווה	שני 	נקבה	רבים	מתנ_טות
התפעל	הווה	שלישי	זכר 	רבים	מתנ_טימ
התפעל	הווה	שלישי	נקבה	רבים	מתנ_טות
התפעל	עתיד	ראשון	זכר 	יחיד	אתנ_טה
התפעל	עתיד	ראשון	נקבה	יחיד	אתנ_טה
התפעל	עתיד	שני 	זכר 	יחיד	תתנ_טה
התפעל	עתיד	שני 	נקבה	יחיד	תתנ_טי
התפעל	עתיד	שלישי	זכר 	יחיד	יתנ_טו
התפעל	עתיד	שלישי	נקבה	יחיד	תתנ_טה
התפעל	עתיד	ראשון	זכר 	רבים	נתנ_טה
התפעל	עתיד	ראשון	נקבה	רבים	נתנ_טה
התפעל	עתיד	שני 	זכר 	רבים	תתנ_טו
התפעל	עתיד	שני 	נקבה	רבים	תתנ_טינה
התפעל	עתיד	שלישי	זכר 	רבים	יתנ_טו
התפעל	עתיד	שלישי	נקבה	רבים	תתנ_טינה
התפעל	ציווי	שני 	זכר 	יחיד	התנ_טה
התפעל	ציווי	שני 	נקבה	יחיד	התנ_טי
התפעל	ציווי	שני 	זכר 	רבים	התנ_טו
התפעל	ציווי	שני 	נקבה	רבים	התנ_טינה
