צרר
פעל 	הווה	_	_ 	_	ל_צ_רו_ר
פעל 	ציווי	שני 	נקבה	יחיד	_צ_ר_רי
פעל 	ציווי	שני 	זכר 	רבים	_צ_ר_רו
פעל 	ציווי	שני 	נקבה	רבים	_צ_רו_רנה
פעל 	עבר 	ראשון	זכר 	יחיד	_צ_רתי
פעל 	עבר 	ראשון	נקבה	יחיד	_צ_רתי
פעל 	עבר 	שני 	זכר 	יחיד	_צ_רת
פעל 	עבר 	שני 	נקבה	יחיד	_צ_רת
פעל 	עבר 	שלישי	זכר 	יחיד	_צ_ר
פעל 	עבר 	שלישי	נקבה	יחיד	_צ_רה
פעל 	עבר 	ראשון	זכר 	רבים	_צ_רנו
פעל 	עבר 	ראשון	נקבה	רבים	_צ_רנו
פעל 	עבר 	שני 	זכר 	רבים	_צ_רתמ
פעל 	עבר 	שני 	נקבה	רבים	_צ_רתנ
פעל 	עבר 	שלישי	זכר 	רבים	_צ_רו
פעל 	עבר 	שלישי	נקבה	רבים	_צ_רו
פעל 	הווה	ראשון	זכר 	יחיד	_צ_ר
פעל 	הווה	ראשון	נקבה	יחיד	_צ_רה
פעל 	הווה	שני 	זכר 	יחיד	_צ_ר
פעל 	הווה	שני 	נקבה	יחיד	_צ_רה
פעל 	הווה	שלישי	זכר 	יחיד	_צ_ר
פעל 	הווה	שלישי	נקבה	יחיד	_צ_רה
פעל 	הווה	ראשון	זכר 	רבים	_צ_רימ
פעל 	הווה	ראשון	נקבה	רבים	_צ_רות
פעל 	הווה	שני 	זכר 	רבים	_צ_רימ
פעל 	הווה	שני 	נקבה	רבים	_צ_רות
פעל 	הווה	שלישי	זכר 	רבים	_צ_רימ
פעל 	הווה	שלישי	נקבה	רבים	_צ_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צו_ר
פעל 	עתיד	ראשון	נקבה	יחיד	א_צו_ר
פעל 	עתיד	שני 	זכר 	יחיד	ת_צו_ר
פעל 	עתיד	שני 	נקבה	יחיד	ת_צו_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_צו_ר
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צו_ר
פעל 	עתיד	ראשון	זכר 	רבים	נ_צו_ר
פעל 	עתיד	ראשון	נקבה	רבים	נ_צו_ר
פעל 	עתיד	שני 	זכר 	רבים	ת_צו_רו
פעל 	עתיד	שני 	נקבה	רבים	ת_צו_רנה
פעל 	עתיד	שלישי	זכר 	רבים	י_צו_רו
פעל 	עתיד	שלישי	נקבה	רבים	י_צו_רנה
פעל 	ציווי	שני 	זכר 	יחיד	_צו_ר
פעל 	ציווי	שני 	נקבה	יחיד	_צו_רי
פעל 	ציווי	שני 	זכר 	רבים	_צו_רו
פעל 	ציווי	שני 	נקבה	רבים	_צו_רנה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_צו_רתי
נפעל	עבר 	ראשון	נקבה	יחיד	נ_צו_רתי
נפעל	עבר 	שני 	זכר 	יחיד	נ_צו_רת
נפעל	עבר 	שני 	נקבה	יחיד	נ_צו_רת
נפעל	עבר 	שלישי	זכר 	יחיד	נ_צו_ר
נפעל	עבר 	שלישי	נקבה	יחיד	נ_צו_רה
נפעל	עבר 	ראשון	זכר 	רבים	נ_צו_רו
נפעל	עבר 	ראשון	נקבה	רבים	נ_צו_רו
נפעל	עבר 	שני 	זכר 	רבים	נ_צו_רתמ
נפעל	עבר 	שני 	נקבה	רבים	נ_צו_רתנ
נפעל	עבר 	שלישי	זכר 	רבים	נ_צו_רו
נפעל	עבר 	שלישי	נקבה	רבים	נ_צו_רו
נפעל	הווה	ראשון	זכר 	יחיד	נ_צו_ר
נפעל	הווה	ראשון	נקבה	יחיד	נ_צו_רה
נפעל	הווה	שני 	זכר 	יחיד	נ_צו_ר
נפעל	הווה	שני 	נקבה	יחיד	נ_צו_רה
נפעל	הווה	שלישי	זכר 	יחיד	נ_צו_ר
נפעל	הווה	שלישי	נקבה	יחיד	נ_צו_רה
נפעל	הווה	ראשון	זכר 	רבים	נ_צו_רימ
נפעל	הווה	ראשון	נקבה	רבים	נ_צו_רות
נפעל	הווה	שני 	זכר 	רבים	נ_צו_רימ
נפעל	הווה	שני 	נקבה	רבים	נ_צו_רות
נפעל	הווה	שלישי	זכר 	רבים	נ_צו_רימ
נפעל	הווה	שלישי	נקבה	רבים	נ_צו_רות
נפעל	עתיד	ראשון	זכר 	יחיד	א_צו_ר
נפעל	עתיד	ראשון	נקבה	יחיד	א_צו_ר
נפעל	עתיד	שני 	זכר 	יחיד	ת_צו_ר
נפעל	עתיד	שני 	נקבה	יחיד	ת_צו_רי
נפעל	עתיד	שלישי	זכר 	יחיד	י_צו_ר
נפעל	עתיד	שלישי	נקבה	יחיד	ת_צו_ר
נפעל	עתיד	ראשון	זכר 	רבים	נ_צו_ר
נפעל	עתיד	ראשון	נקבה	רבים	נ_צו_ר
נפעל	עתיד	שני 	זכר 	רבים	ת_צו_רו
נפעל	עתיד	שני 	נקבה	רבים	ת_צו_רנה
נפעל	עתיד	שלישי	זכר 	רבים	י_צו_רו
נפעל	עתיד	שלישי	נקבה	רבים	ת_צו_רנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_צו_ר
נפעל	ציווי	שני 	נקבה	יחיד	הי_צו_רי
נפעל	ציווי	שני 	זכר 	רבים	הי_צו_רו
נפעל	ציווי	שני 	נקבה	רבים	הי_צו_רנה
פיעל	עבר 	ראשון	זכר 	יחיד	_צו_ר_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_צו_ר_רתי
פיעל	עבר 	שני 	זכר 	יחיד	_צו_ר_רת
פיעל	עבר 	שני 	נקבה	יחיד	_צו_ר_רת
פיעל	עבר 	שלישי	זכר 	יחיד	_צו_ר_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_צו_ר_ר
פיעל	עבר 	ראשון	זכר 	רבים	_צו_ר_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_צו_ר_רנו
פיעל	עבר 	שני 	זכר 	רבים	_צו_ר_רתמ
פיעל	עבר 	שני 	נקבה	רבים	_צו_ר_רתנ
פיעל	עבר 	שלישי	זכר 	רבים	_צו_ר_רו
פיעל	עבר 	שלישי	נקבה	רבים	_צו_ר_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_צו_ר_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_צו_ר_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_צו_ר_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_צו_ר_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_צו_ר_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_צו_ר_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_צו_ר_רימ
פיעל	הווה	ראשון	נקבה	רבים	מ_צו_ר_רות
פיעל	הווה	שני 	זכר 	רבים	מ_צו_ר_רימ
פיעל	הווה	שני 	נקבה	רבים	מ_צו_ר_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_צו_ר_רימ
פיעל	הווה	שלישי	נקבה	רבים	מ_צו_ר_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_צו_ר_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_צו_ר_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_צו_ר_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_צו_ר_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_צו_ר_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צו_ר_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_צו_ר_ר
פיעל	עתיד	ראשון	נקבה	רבים	נ_צו_ר_ר
פיעל	עתיד	שני 	זכר 	רבים	ת_צו_ר_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_צו_ר_רו
פיעל	עתיד	שלישי	זכר 	רבים	י_צו_ר_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_צו_ר_רנה
פיעל	ציווי	שני 	זכר 	יחיד	_צו_ר_ר
פיעל	ציווי	שני 	נקבה	יחיד	_צו_ר_רי
פיעל	ציווי	שני 	זכר 	רבים	_צו_ר_רו
פיעל	ציווי	שני 	נקבה	רבים	_צו_ר_רנה
פועל	עבר 	ראשון	זכר 	יחיד	_צו_ר_רתי
פועל	עבר 	ראשון	נקבה	יחיד	_צו_ר_רתי
פועל	עבר 	שני 	זכר 	יחיד	_צו_ר_רת
פועל	עבר 	שני 	נקבה	יחיד	_צו_ר_רת
פועל	עבר 	שלישי	זכר 	יחיד	_צו_ר_ר
פועל	עבר 	שלישי	נקבה	יחיד	_צו_ר_ר
פועל	עבר 	ראשון	זכר 	רבים	_צו_ר_רנו
פועל	עבר 	ראשון	נקבה	רבים	_צו_ר_רנו
פועל	עבר 	שני 	זכר 	רבים	_צו_ר_רתמ
פועל	עבר 	שני 	נקבה	רבים	_צו_ר_רתנ
פועל	עבר 	שלישי	זכר 	רבים	_צו_ר_רו
פועל	עבר 	שלישי	נקבה	רבים	_צו_ר_רו
פועל	הווה	ראשון	זכר 	יחיד	מ_צו_ר_ר
פועל	הווה	ראשון	נקבה	יחיד	מ_צו_ר_רת
פועל	הווה	שני 	זכר 	יחיד	מ_צו_ר_ר
פועל	הווה	שני 	נקבה	יחיד	מ_צו_ר_רת
פועל	הווה	שלישי	זכר 	יחיד	מ_צו_ר_ר
פועל	הווה	שלישי	נקבה	יחיד	מ_צו_ר_רת
פועל	הווה	ראשון	זכר 	רבים	מ_צו_ר_רימ
פועל	הווה	ראשון	נקבה	רבים	מ_צו_ר_רות
פועל	הווה	שני 	זכר 	רבים	מ_צו_ר_רימ
פועל	הווה	שני 	נקבה	רבים	מ_צו_ר_רות
פועל	הווה	שלישי	זכר 	רבים	מ_צו_ר_רימ
פועל	הווה	שלישי	נקבה	רבים	מ_צו_ר_רות
פועל	עתיד	ראשון	זכר 	יחיד	א_צו_ר_ר
פועל	עתיד	ראשון	נקבה	יחיד	א_צו_ר_ר
פועל	עתיד	שני 	זכר 	יחיד	ת_צו_ר_ר
פועל	עתיד	שני 	נקבה	יחיד	ת_צו_ר_רי
פועל	עתיד	שלישי	זכר 	יחיד	י_צו_ר_ר
פועל	עתיד	שלישי	נקבה	יחיד	ת_צו_ר_ר
פועל	עתיד	ראשון	זכר 	רבים	נ_צו_ר_ר
פועל	עתיד	ראשון	נקבה	רבים	נ_צו_ר_ר
פועל	עתיד	שני 	זכר 	רבים	ת_צו_ר_רו
פועל	עתיד	שני 	נקבה	רבים	ת_צו_ר_רו
פועל	עתיד	שלישי	זכר 	רבים	י_צו_ר_רו
פועל	עתיד	שלישי	נקבה	רבים	ת_צו_ר_רנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_צ_רתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_צ_רתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_צ_רתי
הפעיל	עבר 	שני 	נקבה	יחיד	ה_צ_רת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_צי_ר
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_צי_ר
הפעיל	עבר 	ראשון	זכר 	רבים	ה_צ_רנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_צ_רנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_צ_רתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_צ_רתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_צי_רו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_צי_רו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_צי_ר
הפעיל	הווה	ראשון	נקבה	יחיד	מ_צי_רה
הפעיל	הווה	שני 	זכר 	יחיד	מ_צי_ר
הפעיל	הווה	שני 	נקבה	יחיד	מ_צי_רה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_צי_ר
הפעיל	הווה	שלישי	נקבה	יחיד	מ_צי_רה
הפעיל	הווה	ראשון	זכר 	רבים	מ_צי_רימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_צי_רות
הפעיל	הווה	שני 	זכר 	רבים	מ_צי_רימ
הפעיל	הווה	שני 	נקבה	רבים	מ_צי_רות
הפעיל	הווה	שלישי	זכר 	רבים	מ_צי_רימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_צי_רות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_צי_ר
הפעיל	עתיד	ראשון	נקבה	יחיד	א_צי_ר
הפעיל	עתיד	שני 	זכר 	יחיד	ת_צי_רי
הפעיל	עתיד	שני 	נקבה	יחיד	ת_צי_רי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_צי_ר
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_צי_ר
הפעיל	עתיד	ראשון	זכר 	רבים	נ_צי_ר
הפעיל	עתיד	ראשון	נקבה	רבים	נ_צי_ר
הפעיל	עתיד	שני 	זכר 	רבים	ת_צי_רו
הפעיל	עתיד	שני 	נקבה	רבים	ת_צ_רנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_צ_רו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_צ_רנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_צ_ר
הפעיל	ציווי	שני 	נקבה	יחיד	ה_צי_רי
הפעיל	ציווי	שני 	זכר 	רבים	ה_צי_רו
הפעיל	ציווי	שני 	נקבה	רבים	ה_צ_רנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_צ_רתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_צ_רתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_צ_רת
הופעל	עבר 	שני 	נקבה	יחיד	הו_צ_רת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_צ_ר
הופעל	עבר 	שלישי	נקבה	יחיד	הו_צ_רה
הופעל	עבר 	ראשון	זכר 	רבים	הו_צ_רנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_צ_רנו
הופעל	עבר 	שני 	זכר 	רבים	הו_צ_רתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_צ_רתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_צ_רו
הופעל	עבר 	שלישי	נקבה	רבים	הו_צ_רו
הופעל	הווה	ראשון	זכר 	יחיד	מו_צ_ר
הופעל	הווה	ראשון	נקבה	יחיד	מו_צ_רת
הופעל	הווה	שני 	זכר 	יחיד	מו_צ_ר
הופעל	הווה	שני 	נקבה	יחיד	מו_צ_רת
הופעל	הווה	שלישי	זכר 	יחיד	מו_צ_ר
הופעל	הווה	שלישי	נקבה	יחיד	מו_צ_רת
הופעל	הווה	ראשון	זכר 	רבים	מו_צ_רימ
הופעל	הווה	ראשון	נקבה	רבים	מו_צ_רות
הופעל	הווה	שני 	זכר 	רבים	מו_צ_רימ
הופעל	הווה	שני 	נקבה	רבים	מו_צ_רות
הופעל	הווה	שלישי	זכר 	רבים	מו_צ_רימ
הופעל	הווה	שלישי	נקבה	רבים	מו_צ_רות
הופעל	עתיד	ראשון	זכר 	יחיד	או_צ_ר
הופעל	עתיד	ראשון	נקבה	יחיד	או_צ_ר
הופעל	עתיד	שני 	זכר 	יחיד	תו_צ_ר
הופעל	עתיד	שני 	נקבה	יחיד	תו_צ_רי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_צ_ר
הופעל	עתיד	שלישי	נקבה	יחיד	תו_צ_ר
הופעל	עתיד	ראשון	זכר 	רבים	נו_צ_ר
הופעל	עתיד	ראשון	נקבה	רבים	נו_צ_ר
הופעל	עתיד	שני 	זכר 	רבים	תו_צ_רו
הופעל	עתיד	שני 	נקבה	רבים	תו_צ_רנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_צ_רו
הופעל	עתיד	שלישי	נקבה	רבים	תו_צ_רנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_צט_ר_רתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_צט_ר_רתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_צט_ר_רת
התפעל	עבר 	שני 	נקבה	יחיד	ה_צט_ר_רת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_צט_ר_ר
התפעל	עבר 	שלישי	נקבה	יחיד	ה_צט_ר_רה
התפעל	עבר 	ראשון	זכר 	רבים	ה_צט_ר_רנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_צט_ר_רו
התפעל	עבר 	שני 	זכר 	רבים	ה_צט_ר_רתמ
התפעל	עבר 	שני 	נקבה	רבים	ה_צט_ר_רתנ
התפעל	עבר 	שלישי	זכר 	רבים	ה_צט_ר_רו
התפעל	עבר 	שלישי	נקבה	רבים	ה_צט_ר_רו
התפעל	הווה	ראשון	זכר 	יחיד	מ_צט_ר_ר
התפעל	הווה	ראשון	נקבה	יחיד	מ_צט_ר_רת
התפעל	הווה	שני 	זכר 	יחיד	מ_צט_ר_ר
התפעל	הווה	שני 	נקבה	יחיד	מ_צט_ר_רת
התפעל	הווה	שלישי	זכר 	יחיד	מ_צט_ר_ר
התפעל	הווה	שלישי	נקבה	יחיד	מ_צט_ר_רת
התפעל	הווה	ראשון	זכר 	רבים	מ_צט_ר_רימ
התפעל	הווה	ראשון	נקבה	רבים	מ_צט_ר_רות
התפעל	הווה	שני 	זכר 	רבים	מ_צט_ר_רימ
התפעל	הווה	שני 	נקבה	רבים	מ_צט_ר_רות
התפעל	הווה	שלישי	זכר 	רבים	מ_צט_ר_רימ
התפעל	הווה	שלישי	נקבה	רבים	מ_צט_ר_רות
התפעל	עתיד	ראשון	זכר 	יחיד	א_צט_ר_ר
התפעל	עתיד	ראשון	נקבה	יחיד	א_צט_ר_ר
התפעל	עתיד	שני 	זכר 	יחיד	ת_צט_ר_ר
התפעל	עתיד	שני 	נקבה	יחיד	ת_צ_ר_רי
התפעל	עתיד	שלישי	זכר 	יחיד	י_צט_ר_ר
התפעל	עתיד	שלישי	נקבה	יחיד	ת_צט_ר_ר
התפעל	עתיד	ראשון	זכר 	רבים	נ_צט_ר_ר
התפעל	עתיד	ראשון	נקבה	רבים	נ_צט_ר_ר
התפעל	עתיד	שני 	זכר 	רבים	ת_צט_ר_רו
התפעל	עתיד	שני 	נקבה	רבים	ת_צט_ר_רנה
התפעל	עתיד	שלישי	זכר 	רבים	י_צט_ר_רו
התפעל	עתיד	שלישי	נקבה	רבים	ת_צט_ר_רנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_צט_ר_ר
התפעל	ציווי	שני 	נקבה	יחיד	ה_צט_ר_רי
התפעל	ציווי	שני 	זכר 	רבים	ה_צט_ר_רו
התפעל	ציווי	שני 	נקבה	רבים	ה_צט_ר_רנה
