טעי
פעל 	הווה	_	_ 	_	ל_ט_עות
נפעל 	עתיד	שני 	נקבה	יחיד	ת_ט_עי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_ט_עה
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_ט_עה
נפעל 	עתיד	ראשון	זכר 	רבים	נ_ט_עה
נפעל 	עתיד	ראשון	נקבה	רבים	נ_ט_עה
נפעל 	עתיד	שני 	זכר 	רבים	ת_ט_עו
נפעל 	עתיד	שני 	נקבה	רבים	ת_ט_עינה
נפעל 	עתיד	שלישי	זכר 	רבים	י_ט_עו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_ט_עינה
נפעל 	ציווי	שני 	זכר 	יחיד	ה_ט_עה
נפעל 	ציווי	שני 	נקבה	יחיד	ה_ט_עי
נפעל 	ציווי	שני 	זכר 	רבים	ה_ט_עו
נפעל 	ציווי	שני 	נקבה	רבים	ה_ט_עינה
פיעל	עבר 	ראשון	זכר 	יחיד	_טי_עיתי
פיעל	עבר 	ראשון	נקבה	יחיד	_טי_עיתי
פיעל	עבר 	שני 	זכר 	יחיד	_טי_עית
פיעל	עבר 	שני 	נקבה	יחיד	_טי_עית
פיעל	עבר 	שלישי	זכר 	יחיד	_טי_עה
פיעל	עבר 	שלישי	נקבה	יחיד	_טי_עתה
פיעל	עבר 	ראשון	זכר 	רבים	_טי_עינו
פיעל	עבר 	ראשון	נקבה	רבים	_טי_עינו
פיעל	עבר 	שני 	זכר 	רבים	_טי_עיתמ
פיעל	עבר 	שני 	נקבה	רבים	_טי_עיתנ
פיעל	עבר 	שלישי	זכר 	רבים	_טי_עו
פיעל	עבר 	שלישי	נקבה	רבים	_טי_עו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ט_עה
פיעל	הווה	ראשון	נקבה	יחיד	מ_ט_עה
פיעל	הווה	שני 	זכר 	יחיד	מ_ט_עה
פיעל	הווה	שני 	נקבה	יחיד	מ_ט_עה
פיעל	הווה	שלישי	זכר 	יחיד	מ_ט_עה
פיעל	הווה	שלישי	נקבה	יחיד	מ_ט_עה
פיעל	הווה	ראשון	זכר 	רבים	מ_ט_עימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ט_עות
פיעל	הווה	שני 	זכר 	רבים	מ_ט_עימ
פיעל	הווה	שני 	נקבה	רבים	מ_ט_עות
פיעל	הווה	שלישי	זכר 	רבים	מ_ט_עימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ט_עות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ט_עה
פיעל	עתיד	ראשון	נקבה	יחיד	א_ט_עה
פיעל	עתיד	שני 	זכר 	יחיד	ת_ט_עה
פיעל	עתיד	שני 	נקבה	יחיד	ת_ט_עי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ט_עה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ט_עה
פיעל	עתיד	ראשון	זכר 	רבים	נ_ט_עה
פיעל	עתיד	ראשון	נקבה	רבים	נ_ט_עה
פיעל	עתיד	שני 	זכר 	רבים	ת_ט_עו
פיעל	עתיד	שני 	נקבה	רבים	ת_ט_עינה
פיעל	עתיד	שלישי	זכר 	רבים	י_ט_עו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ט_עינה
פיעל	ציווי	שני 	זכר 	יחיד	_ט_עה
פיעל	ציווי	שני 	נקבה	יחיד	_ט_עי
פיעל	ציווי	שני 	זכר 	רבים	_ט_עו
פיעל	ציווי	שני 	נקבה	רבים	_ט_עינה
פועל	עבר 	ראשון	זכר 	יחיד	_טו_עיתי
פועל	עבר 	ראשון	נקבה	יחיד	_טו_עיתי
פועל	עבר 	שני 	זכר 	יחיד	_טו_עית
פועל	עבר 	שני 	נקבה	יחיד	_טו_עית
פועל	עבר 	שלישי	זכר 	יחיד	_טו_עה
פועל	עבר 	שלישי	נקבה	יחיד	_טו_עתה
פועל	עבר 	ראשון	זכר 	רבים	_טו_עינו
פועל	עבר 	ראשון	נקבה	רבים	_טו_עינו
פועל	עבר 	שני 	זכר 	רבים	_טו_עיתמ
פועל	עבר 	שני 	נקבה	רבים	_טו_עיתנ
פועל	עבר 	שלישי	זכר 	רבים	_טו_עו
פועל	עבר 	שלישי	נקבה	רבים	_טו_עו
פועל	הווה	ראשון	זכר 	יחיד	מ_טו_עה
פועל	הווה	ראשון	נקבה	יחיד	מ_טו_עה
פועל	הווה	שני 	זכר 	יחיד	מ_טו_עה
פועל	הווה	שני 	נקבה	יחיד	מ_טו_עה
פועל	הווה	שלישי	זכר 	יחיד	מ_טו_עה
פעל 	הווה	שלישי	נקבה	יחיד	מ_טו_עה
פועל	הווה	ראשון	זכר 	רבים	מ_טו_עימ
פועל	הווה	ראשון	נקבה	רבים	מ_טו_עות
פועל	הווה	שני 	זכר 	רבים	מ_טו_עימ
פועל	הווה	שני 	נקבה	רבים	מ_טו_עות
פועל	הווה	שלישי	זכר 	רבים	מ_טו_עימ
פועל	הווה	שלישי	נקבה	רבים	מ_טו_עות
פועל	עתיד	ראשון	זכר 	יחיד	א_טו_עה
פועל	עתיד	ראשון	נקבה	יחיד	א_טו_עה
פועל	עתיד	שני 	זכר 	יחיד	ת_טו_עה
פועל	עתיד	שני 	נקבה	יחיד	ת_טו_עי
פועל	עתיד	שלישי	זכר 	יחיד	י_טו_עה
פועל	עתיד	שלישי	נקבה	יחיד	ת_טו_עה
פועל	עתיד	ראשון	זכר 	רבים	נ_טו_עה
פועל	עתיד	ראשון	נקבה	רבים	נ_טו_עה
פועל	עתיד	שני 	זכר 	רבים	ת_טו_עו
פועל	עתיד	שני 	נקבה	רבים	ת_טו_עינה
פועל	עתיד	שלישי	זכר 	רבים	י_טו_עו
פועל	עתיד	שלישי	נקבה	רבים	ת_טו_עינה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ט_עיתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ט_עיתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ט_עית
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ט_עית
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ט_עה
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ט_עתה
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ט_עינו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ט_עינו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ט_עיתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ט_עיתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ט_עו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ט_עו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ט_עה
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ט_עה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ט_עה
הפעיל	הווה	שני 	נקבה	יחיד	מ_ט_עה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ט_עה
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ט_עה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ט_עימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_ט_עות
הפעיל	הווה	שני 	זכר 	רבים	מ_ט_עימ
הפעיל	הווה	שני 	נקבה	רבים	מ_ט_עות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ט_עימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_ט_עות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ט_עה
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ט_עה
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ט_עה
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ט_עי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ט_עה
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ט_עה
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ט_עה
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ט_עה
הפעיל	עתיד	שני 	זכר 	רבים	ת_ט_עו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ט_עינה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ט_עו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ט_עינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ט_עה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ט_עי
הפעיל	ציווי	שני 	זכר 	רבים	ה_ט_עו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ט_עינה
הופעל 	עבר 	ראשון	זכר 	יחיד	ה_ט_עיתי
הופעל 	עבר 	ראשון	נקבה	יחיד	ה_ט_עיתי
הופעל 	עבר 	שני 	זכר 	יחיד	ה_ט_עית
הופעל 	עבר 	שני 	נקבה	יחיד	ה_ט_עית
הופעל 	עבר 	שלישי	זכר 	יחיד	ה_ט_עה
הופעל 	עבר 	שלישי	נקבה	יחיד	ה_ט_עתה
הופעל 	עבר 	ראשון	זכר 	רבים	ה_ט_עינו
הופעל 	עבר 	ראשון	נקבה	רבים	ה_ט_עינו
הופעל 	עבר 	שני 	זכר 	רבים	ה_ט_עיתמ
הופעל 	עבר 	שני 	נקבה	רבים	ה_ט_עיתנ
הופעל 	עבר 	שלישי	זכר 	רבים	ה_ט_עו
הופעל 	עבר 	שלישי	נקבה	רבים	ה_ט_עו
הופעל 	הווה	ראשון	זכר 	יחיד	מ_ט_עה
הופעל 	הווה	ראשון	נקבה	יחיד	מ_ט_עה
הופעל 	הווה	שני 	זכר 	יחיד	מ_ט_עה
הופעל 	הווה	שני 	נקבה	יחיד	מ_ט_עה
הופעל 	הווה	שלישי	זכר 	יחיד	מ_ט_עה
הופעל 	הווה	שלישי	נקבה	יחיד	מ_ט_עה
הופעל 	הווה	ראשון	זכר 	רבים	מ_ט_עימ
הופעל 	הווה	ראשון	נקבה	רבים	מ_ט_עות
הופעל 	הווה	שני 	זכר 	רבים	מ_ט_עימ
הופעל 	הווה	שני 	נקבה	רבים	מ_ט_עות
הופעל 	הווה	שלישי	זכר 	רבים	מ_ט_עימ
הופעל 	הווה	שלישי	נקבה	רבים	מ_ט_עות
הופעל 	עתיד	ראשון	זכר 	יחיד	א_ט_עה
הופעל 	עתיד	ראשון	נקבה	יחיד	א_ט_עה
הופעל 	עתיד	שני 	זכר 	יחיד	ת_ט_עה
הופעל 	עתיד	שני 	נקבה	יחיד	ת_ט_עי
הופעל 	עתיד	שלישי	זכר 	יחיד	י_ט_עה
הופעל 	עתיד	שלישי	נקבה	יחיד	ת_ט_עה
הופעל 	עתיד	ראשון	זכר 	רבים	נ_ט_עה
הופעל 	עתיד	ראשון	נקבה	רבים	נ_ט_עה
הופעל 	עתיד	שני 	זכר 	רבים	ת_ט_עו
הופעל 	עתיד	שני 	נקבה	רבים	ת_ט_עינה
הופעל 	עתיד	שלישי	זכר 	רבים	י_ט_עו
הופעל 	עתיד	שלישי	נקבה	רבים	ת_ט_עינה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_ט_עיתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_ט_עיתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_ט_עית
התפעל 	עבר 	שני 	נקבה	יחיד	ה_ט_עית
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_ט_עה
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_ט_עתה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_ט_עינו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_ט_עינו
התפעל 	עבר 	שני 	זכר 	רבים	ה_ט_עיתמ
התפעל 	עבר 	שני 	נקבה	רבים	ה_ט_עיתנ
התפעל 	עבר 	שלישי	זכר 	רבים	ה_ט_עו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_ט_עו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_ט_עה
התפעל 	הווה	ראשון	נקבה	יחיד	מ_ט_עה
התפעל 	הווה	שני 	זכר 	יחיד	מ_ט_עה
התפעל 	הווה	שני 	נקבה	יחיד	מ_ט_עה
התפעל 	הווה	שלישי	זכר 	יחיד	מ_ט_עה
התפעל 	הווה	שלישי	נקבה	יחיד	מ_ט_עה
התפעל 	הווה	ראשון	זכר 	רבים	מ_ט_עימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_ט_עות
התפעל 	הווה	שני 	זכר 	רבים	מ_ט_עימ
התפעל 	הווה	שני 	נקבה	רבים	מ_ט_עות
התפעל 	הווה	שלישי	זכר 	רבים	מ_ט_עימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_ט_עות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_ט_עה
התפעל 	עתיד	ראשון	נקבה	יחיד	א_ט_עה
התפעל 	עתיד	שני 	זכר 	יחיד	ת_ט_עה
התפעל 	עתיד	שני 	נקבה	יחיד	ת_ט_עי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_ט_עה
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_ט_עה
התפעל 	עתיד	ראשון	זכר 	רבים	נ_ט_עה
התפעל 	עתיד	ראשון	נקבה	רבים	נ_ט_עה
התפעל 	עתיד	שני 	זכר 	רבים	ת_ט_עו
התפעל 	עתיד	שני 	נקבה	רבים	ת_ט_עינה
התפעל 	עתיד	שלישי	זכר 	רבים	י_ט_עו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_ט_עינה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_ט_עה
התפעל 	ציווי	שני 	נקבה	יחיד	ה_ט_עי
התפעל 	ציווי	שני 	זכר 	רבים	ה_ט_עו
התפעל 	ציווי	שני 	נקבה	רבים	ה_ט_עינה
