סוט
פעל 	עבר 	ראשון	זכר 	יחיד	_ס_טתי
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_סו_ט
נפעל 	עתיד	ראשון	זכר 	רבים	נ_סו_ט
נפעל 	עתיד	ראשון	נקבה	רבים	נ_סו_ט
נפעל 	עתיד	שני 	זכר 	רבים	ת_סו_טו
נפעל 	עתיד	שני 	נקבה	רבים	ת_סו_טנה
נפעל 	עתיד	שלישי	זכר 	רבים	י_סו_טו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_סו_טנה
נפעל 	ציווי	שני 	זכר 	יחיד	הי_סו_ט
נפעל 	ציווי	שני 	נקבה	יחיד	הי_סו_טי
נפעל 	ציווי	שני 	זכר 	רבים	הי_סו_טו
נפעל 	ציווי	שני 	נקבה	רבים	הי_סו_טנה
פיעל	עבר 	ראשון	זכר 	יחיד	_סיי_טתי
פיעל	עבר 	ראשון	נקבה	יחיד	_סיי_טתי
פיעל	עבר 	שני 	זכר 	יחיד	_סיי_טתי
פיעל	עבר 	שני 	נקבה	יחיד	_סיי_טתי
פיעל	עבר 	שלישי	זכר 	יחיד	_סיי_ט
פיעל	עבר 	שלישי	נקבה	יחיד	_סיי_טה
פיעל	עבר 	ראשון	זכר 	רבים	_סיי_טו
פיעל	עבר 	ראשון	נקבה	רבים	_סיי_טו
פיעל	עבר 	שני 	זכר 	רבים	_סיי_טתמ
פיעל	עבר 	שני 	נקבה	רבים	_סיי_טתנ
פיעל	עבר 	שלישי	זכר 	רבים	_סיי_טו
פיעל	עבר 	שלישי	נקבה	רבים	_סיי_טו
פיעל	הווה	ראשון	זכר 	יחיד	מ_סיי_ט
פיעל	הווה	ראשון	נקבה	יחיד	מ_סיי_טת
פיעל	הווה	שני 	זכר 	יחיד	מ_סיי_ט
פיעל	הווה	שני 	נקבה	יחיד	מ_סיי_טת
פיעל	הווה	שלישי	זכר 	יחיד	מ_סיי_ט
פיעל	הווה	שלישי	נקבה	יחיד	מ_סיי_טת
פיעל	הווה	ראשון	זכר 	רבים	מ_סיי_טימ
פיעל	הווה	ראשון	נקבה	רבים	מ_סיי_טות
פיעל	הווה	שני 	זכר 	רבים	מ_סיי_טימ
פיעל	הווה	שני 	נקבה	רבים	מ_סיי_טות
פיעל	הווה	שלישי	זכר 	רבים	מ_סיי_טימ
פיעל	הווה	שלישי	נקבה	רבים	מ_סיי_טות
פיעל	עתיד	ראשון	זכר 	יחיד	א_סיי_ט
פיעל	עתיד	ראשון	נקבה	יחיד	א_סיי_ט
פיעל	עתיד	שני 	זכר 	יחיד	ת_סיי_ט
פיעל	עתיד	שני 	נקבה	יחיד	ת_סיי_טי
פיעל	עתיד	שלישי	זכר 	יחיד	י_סיי_ט
פיעל	עתיד	שלישי	נקבה	יחיד	ת_סיי_ט
פיעל	עתיד	ראשון	זכר 	רבים	נ_סיי_ט
פיעל	עתיד	ראשון	נקבה	רבים	נ_סיי_ט
פיעל	עתיד	שני 	זכר 	רבים	ת_סיי_טו
פיעל	עתיד	שני 	נקבה	רבים	ת_סיי_טנה
פיעל	עתיד	שלישי	זכר 	רבים	י_סיי_טו
פיעל	עתיד	שלישי	נקבה	רבים	ת_סיי_טנה
פיעל	ציווי	שני 	זכר 	יחיד	_סיי_ט
פיעל	ציווי	שני 	נקבה	יחיד	_סיי_טי
פיעל	ציווי	שני 	זכר 	רבים	_סיי_טו
פיעל	ציווי	שני 	נקבה	רבים	_סיי_טנה
פועל	עבר 	ראשון	זכר 	יחיד	_סוי_טתי
פועל	עבר 	ראשון	נקבה	יחיד	_סוי_טתי
פועל	עבר 	שני 	זכר 	יחיד	_סוי_טת
פועל	עבר 	שני 	נקבה	יחיד	_סוי_טת
פועל	עבר 	שלישי	זכר 	יחיד	_סוי_ט
פועל	עבר 	שלישי	נקבה	יחיד	_סוי_טה
פועל	עבר 	ראשון	זכר 	רבים	_סוי_טנו
פועל	עבר 	ראשון	נקבה	רבים	_סו_טינו
פועל	עבר 	שני 	זכר 	רבים	_סוי_טתמ
פועל	עבר 	שני 	נקבה	רבים	_סוי_טתנ
פועל	עבר 	שלישי	זכר 	רבים	_סוי_טו
פועל	עבר 	שלישי	נקבה	רבים	_סוי_טו
פועל	הווה	ראשון	זכר 	יחיד	מ_סוי_ט
פועל	הווה	ראשון	נקבה	יחיד	מ_סוי_טת
פועל	הווה	שני 	זכר 	יחיד	מ_סוי_ט
פועל	הווה	שני 	נקבה	יחיד	מ_סוי_טת
פועל	הווה	שלישי	זכר 	יחיד	מ_סוי_ט
פועל	הווה	שלישי	נקבה	יחיד	מ_סוי_טת
פועל	הווה	ראשון	זכר 	רבים	מ_סוי_טימ
פועל	הווה	ראשון	נקבה	רבים	מ_סוי_טות
פועל	הווה	שני 	זכר 	רבים	מ_סוי_טימ
פועל	הווה	שני 	נקבה	רבים	מ_סוי_טות
פועל	הווה	שלישי	זכר 	רבים	מ_סוי_טימ
פועל	הווה	שלישי	נקבה	רבים	מ_סוי_טות
פועל	עתיד	ראשון	זכר 	יחיד	א_סוי_ט
פועל	עתיד	ראשון	נקבה	יחיד	א_סוי_ט
פועל	עתיד	שני 	זכר 	יחיד	ת_סוי_ט
פועל	עתיד	שני 	נקבה	יחיד	ת_סוי_טי
פועל	עתיד	שלישי	זכר 	יחיד	י_סוי_ט
פועל	עתיד	שלישי	נקבה	יחיד	ת_סוי_ט
פועל	עתיד	ראשון	זכר 	רבים	נ_סוי_ט
פועל	עתיד	ראשון	נקבה	רבים	נ_סוי_ט
פועל	עתיד	שני 	זכר 	רבים	ת_סוי_טו
פועל	עתיד	שני 	נקבה	רבים	ת_סוי_טנה
פועל	עתיד	שלישי	זכר 	רבים	י_סוי_טו
פועל	עתיד	שלישי	נקבה	רבים	ת_סוי_טנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ס_טתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ס_טתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ס_טתי
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ס_טת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_סי_ט
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_סי_ט
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ס_טנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ס_טנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ס_טתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ס_טתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_סי_טו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_סי_טו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_סי_ט
הפעיל	הווה	ראשון	נקבה	יחיד	מ_סי_טה
הפעיל	הווה	שני 	זכר 	יחיד	מ_סי_ט
הפעיל	הווה	שני 	נקבה	יחיד	מ_סי_טה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_סי_ט
הפעיל	הווה	שלישי	נקבה	יחיד	מ_סי_טה
הפעיל	הווה	ראשון	זכר 	רבים	מ_סי_טימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_סי_טות
הפעיל	הווה	שני 	זכר 	רבים	מ_סי_טימ
הפעיל	הווה	שני 	נקבה	רבים	מ_סי_טות
הפעיל	הווה	שלישי	זכר 	רבים	מ_סי_טימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_סי_טות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_סי_ט
הפעיל	עתיד	ראשון	נקבה	יחיד	א_סי_ט
הפעיל	עתיד	שני 	זכר 	יחיד	ת_סי_טי
הפעיל	עתיד	שני 	נקבה	יחיד	ת_סי_טי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_סי_ט
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_סי_ט
הפעיל	עתיד	ראשון	זכר 	רבים	נ_סי_ט
הפעיל	עתיד	ראשון	נקבה	רבים	נ_סי_ט
הפעיל	עתיד	שני 	זכר 	רבים	ת_סי_טו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ס_טנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ס_טו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ס_טנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ס_ט
הפעיל	ציווי	שני 	נקבה	יחיד	ה_סי_טי
הפעיל	ציווי	שני 	זכר 	רבים	ה_סי_טו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ס_טנה
הופעל 	עבר 	ראשון	זכר 	יחיד	הו_ס_טתי
הופעל 	עבר 	ראשון	נקבה	יחיד	הו_ס_טתי
הופעל 	עבר 	שני 	זכר 	יחיד	הו_ס_טת
הופעל 	עבר 	שני 	נקבה	יחיד	הו_ס_טת
הופעל 	עבר 	שלישי	זכר 	יחיד	הו_ס_ט
הופעל 	עבר 	שלישי	נקבה	יחיד	הו_ס_טה
הופעל 	עבר 	ראשון	זכר 	רבים	הו_ס_טנו
הופעל 	עבר 	ראשון	נקבה	רבים	הו_ס_טנו
הופעל 	עבר 	שני 	זכר 	רבים	הו_ס_טתמ
הופעל 	עבר 	שני 	נקבה	רבים	הו_ס_טתנ
הופעל 	עבר 	שלישי	זכר 	רבים	הו_ס_טו
הופעל 	עבר 	שלישי	נקבה	רבים	הו_ס_טו
הופעל 	הווה	ראשון	זכר 	יחיד	מו_ס_ט
הופעל 	הווה	ראשון	נקבה	יחיד	מו_ס_טת
הופעל 	הווה	שני 	זכר 	יחיד	מו_ס_ט
הופעל 	הווה	שני 	נקבה	יחיד	מו_ס_טת
הופעל 	הווה	שלישי	זכר 	יחיד	מו_ס_ט
הופעל 	הווה	שלישי	נקבה	יחיד	מו_ס_טת
הופעל 	הווה	ראשון	זכר 	רבים	מו_ס_טימ
הופעל 	הווה	ראשון	נקבה	רבים	מו_ס_טות
הופעל 	הווה	שני 	זכר 	רבים	מו_ס_טימ
הופעל 	הווה	שני 	נקבה	רבים	מו_ס_טות
הופעל 	הווה	שלישי	זכר 	רבים	מו_ס_טימ
הופעל 	הווה	שלישי	נקבה	רבים	מו_ס_טות
הופעל 	עתיד	ראשון	זכר 	יחיד	או_ס_ט
הופעל 	עתיד	ראשון	נקבה	יחיד	או_ס_ט
הופעל 	עתיד	שני 	זכר 	יחיד	תו_ס_ט
הופעל 	עתיד	שני 	נקבה	יחיד	תו_ס_טי
הופעל 	עתיד	שלישי	זכר 	יחיד	יו_ס_ט
הופעל 	עתיד	שלישי	נקבה	יחיד	תו_ס_ט
הופעל 	עתיד	ראשון	זכר 	רבים	נו_ס_ט
הופעל 	עתיד	ראשון	נקבה	רבים	נו_ס_ט
הופעל 	עתיד	שני 	זכר 	רבים	תו_ס_טו
הופעל 	עתיד	שני 	נקבה	רבים	תו_ס_טנה
הופעל 	עתיד	שלישי	זכר 	רבים	יו_ס_טו
הופעל 	עתיד	שלישי	נקבה	רבים	תו_ס_טנה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_סת_ו_טתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_סת_ו_טתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_סת_ו_טת
התפעל 	עבר 	שני 	נקבה	יחיד	ה_סת_ו_טת
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_סת_ו_ט
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_סת_ו_טה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_סת_ו_טנו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_סת_ו_טו
התפעל 	עבר 	שני 	זכר 	רבים	ה_סת_ו_טתמ
התפעל 	עבר 	שני 	נקבה	רבים	ה_סת_ו_טתנ
התפעל 	עבר 	שלישי	זכר 	רבים	ה_סת_ו_טו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_סת_ו_טו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_סת_ו_ט
התפעל 	הווה	ראשון	נקבה	יחיד	מ_סת_ו_טת
התפעל 	הווה	שני 	זכר 	יחיד	מ_סת_ו_ט
התפעל 	הווה	שני 	נקבה	יחיד	מ_סת_ו_טת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_סת_ו_ט
התפעל 	הווה	שלישי	נקבה	יחיד	מ_סת_ו_טת
התפעל 	הווה	ראשון	זכר 	רבים	מ_סת_ו_טימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_סת_ו_טות
התפעל 	הווה	שני 	זכר 	רבים	מ_סת_ו_טימ
התפעל 	הווה	שני 	נקבה	רבים	מ_סת_ו_טות
התפעל 	הווה	שלישי	זכר 	רבים	מ_סת_ו_טימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_סת_ו_טות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_סת_ו_ט
התפעל 	עתיד	ראשון	נקבה	יחיד	א_סת_ו_ט
התפעל 	עתיד	שני 	זכר 	יחיד	ת_סת_ו_ט
התפעל 	עתיד	שני 	נקבה	יחיד	ת_סת_ו_טי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_סת_ו_ט
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_סת_ו_ט
התפעל 	עתיד	ראשון	זכר 	רבים	נ_סת_ו_ט
התפעל 	עתיד	ראשון	נקבה	רבים	נ_סת_ו_ט
התפעל 	עתיד	שני 	זכר 	רבים	ת_ס_ו_טו
התפעל 	עתיד	שני 	נקבה	רבים	ת_סת_ו_טנה
התפעל 	עתיד	שלישי	זכר 	רבים	י_סת_ו_טו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_סת_ו_טנה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_סת_ו_ט
התפעל 	ציווי	שני 	נקבה	יחיד	ה_סת_ו_טי
התפעל 	ציווי	שני 	זכר 	רבים	ה_סת_ו_טו
התפעל 	ציווי	שני 	נקבה	רבים	ה_סת_ו_טנה
פיעל	עבר 	ראשון	זכר 	יחיד	_סו_ט_טתי
פיעל	עבר 	ראשון	נקבה	יחיד	_סו_ט_טתי
פיעל	עבר 	שני 	זכר 	יחיד	_סו_ט_טת
פיעל	עבר 	שני 	נקבה	יחיד	_סו_ט_טת
פיעל	עבר 	שלישי	זכר 	יחיד	_סו_ט_ט
פיעל	עבר 	שלישי	נקבה	יחיד	_סו_ט_ט
פיעל	עבר 	ראשון	זכר 	רבים	_סו_ט_טנו
פיעל	עבר 	ראשון	נקבה	רבים	_סו_ט_טנו
פיעל	עבר 	שני 	זכר 	רבים	_סו_ט_טתמ
פיעל	עבר 	שני 	נקבה	רבים	_סו_ט_טתנ
פיעל	עבר 	שלישי	זכר 	רבים	_סו_ט_טו
פיעל	עבר 	שלישי	נקבה	רבים	_סו_ט_טו
פיעל	הווה	ראשון	זכר 	יחיד	מ_סו_ט_ט
פיעל	הווה	ראשון	נקבה	יחיד	מ_סו_ט_טת
פיעל	הווה	שני 	זכר 	יחיד	מ_סו_ט_ט
פיעל	הווה	שני 	נקבה	יחיד	מ_סו_ט_טת
פיעל	הווה	שלישי	זכר 	יחיד	מ_סו_ט_ט
פיעל	הווה	שלישי	נקבה	יחיד	מ_סו_ט_טת
פיעל	הווה	ראשון	זכר 	רבים	מ_סו_ט_טימ
פיעל	הווה	ראשון	נקבה	רבים	מ_סו_ט_טות
פיעל	הווה	שני 	זכר 	רבים	מ_סו_ט_טימ
פיעל	הווה	שני 	נקבה	רבים	מ_סו_ט_טות
פיעל	הווה	שלישי	זכר 	רבים	מ_סו_ט_טימ
פיעל	הווה	שלישי	נקבה	רבים	מ_סו_ט_טות
פיעל	עתיד	ראשון	זכר 	יחיד	א_סו_ט_ט
פיעל	עתיד	ראשון	נקבה	יחיד	א_סו_ט_ט
פיעל	עתיד	שני 	זכר 	יחיד	ת_סו_ט_ט
פיעל	עתיד	שני 	נקבה	יחיד	ת_סו_ט_טי
פיעל	עתיד	שלישי	זכר 	יחיד	י_סו_ט_ט
פיעל	עתיד	שלישי	נקבה	יחיד	ת_סו_ט_ט
פיעל	עתיד	ראשון	זכר 	רבים	נ_סו_ט_ט
פיעל	עתיד	ראשון	נקבה	רבים	נ_סו_ט_ט
פיעל	עתיד	שני 	זכר 	רבים	ת_סו_ט_טו
פיעל	עתיד	שני 	נקבה	רבים	ת_סו_ט_טו
פיעל	עתיד	שלישי	זכר 	רבים	י_סו_ט_טו
פיעל	עתיד	שלישי	נקבה	רבים	ת_סו_ט_טנה
פיעל	ציווי	שני 	זכר 	יחיד	_סו_ט_ט
פיעל	ציווי	שני 	נקבה	יחיד	_סו_ט_טי
פיעל	ציווי	שני 	זכר 	רבים	_סו_ט_טו
פיעל	ציווי	שני 	נקבה	רבים	_סו_ט_טנה
פועל	עבר 	ראשון	זכר 	יחיד	_סו_ט_טתי
פועל	עבר 	ראשון	נקבה	יחיד	_סו_ט_טתי
פועל	עבר 	שני 	זכר 	יחיד	_סו_ט_טת
פועל	עבר 	שני 	נקבה	יחיד	_סו_ט_טת
פועל	עבר 	שלישי	זכר 	יחיד	_סו_ט_ט
פועל	עבר 	שלישי	נקבה	יחיד	_סו_ט_ט
פועל	עבר 	ראשון	זכר 	רבים	_סו_ט_טנו
פועל	עבר 	ראשון	נקבה	רבים	_סו_ט_טנו
פועל	עבר 	שני 	זכר 	רבים	_סו_ט_טתמ
פועל	עבר 	שני 	נקבה	רבים	_סו_ט_טתנ
פועל	עבר 	שלישי	זכר 	רבים	_סו_ט_טו
פועל	עבר 	שלישי	נקבה	רבים	_סו_ט_טו
פועל	הווה	ראשון	זכר 	יחיד	מ_סו_ט_ט
פועל	הווה	ראשון	נקבה	יחיד	מ_סו_ט_טת
פועל	הווה	שני 	זכר 	יחיד	מ_סו_ט_ט
פועל	הווה	שני 	נקבה	יחיד	מ_סו_ט_טת
פועל	הווה	שלישי	זכר 	יחיד	מ_סו_ט_ט
פועל	הווה	שלישי	נקבה	יחיד	מ_סו_ט_טת
פועל	הווה	ראשון	זכר 	רבים	מ_סו_ט_טימ
פועל	הווה	ראשון	נקבה	רבים	מ_סו_ט_טות
פועל	הווה	שני 	זכר 	רבים	מ_סו_ט_טימ
פועל	הווה	שני 	נקבה	רבים	מ_סו_ט_טות
פועל	הווה	שלישי	זכר 	רבים	מ_סו_ט_טימ
פועל	הווה	שלישי	נקבה	רבים	מ_סו_ט_טות
פועל	עתיד	ראשון	זכר 	יחיד	א_סו_ט_ט
פועל	עתיד	ראשון	נקבה	יחיד	א_סו_ט_ט
פועל	עתיד	שני 	זכר 	יחיד	ת_סו_ט_ט
פועל	עתיד	שני 	נקבה	יחיד	ת_סו_ט_טי
פועל	עתיד	שלישי	זכר 	יחיד	י_סו_ט_ט
פועל	עתיד	שלישי	נקבה	יחיד	ת_סו_ט_ט
פועל	עתיד	ראשון	זכר 	רבים	נ_סו_ט_ט
פועל	עתיד	ראשון	נקבה	רבים	נ_סו_ט_ט
פועל	עתיד	שני 	זכר 	רבים	ת_סו_ט_טו
פועל	עתיד	שני 	נקבה	רבים	ת_סו_ט_טו
פועל	עתיד	שלישי	זכר 	רבים	י_סו_ט_טו
פועל	עתיד	שלישי	נקבה	רבים	ת_סו_ט_טנה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_סתו_ט_טתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_סתו_ט_טתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_סתו_ט_טת
התפעל 	עבר 	שני 	נקבה	יחיד	ה_סתו_ט_טת
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_סתו_ט_ט
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_סתו_ט_טה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_סתו_ט_טנו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_סתו_ט_טו
התפעל 	עבר 	שני 	זכר 	רבים	ה_סתו_ט_טתמ
התפעל 	עבר 	שני 	נקבה	רבים	ה_סתו_ט_טתנ
התפעל 	עבר 	שלישי	זכר 	רבים	ה_סתו_ט_טו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_סתו_ט_טו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_סתו_ט_ט
התפעל 	הווה	ראשון	נקבה	יחיד	מ_סתו_ט_טת
התפעל 	הווה	שני 	זכר 	יחיד	מ_סתו_ט_ט
התפעל 	הווה	שני 	נקבה	יחיד	מ_סתו_ט_טת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_סתו_ט_ט
התפעל 	הווה	שלישי	נקבה	יחיד	מ_סתו_ט_טת
התפעל 	הווה	ראשון	זכר 	רבים	מ_סתו_ט_טימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_סתו_ט_טות
התפעל 	הווה	שני 	זכר 	רבים	מ_סתו_ט_טימ
התפעל 	הווה	שני 	נקבה	רבים	מ_סתו_ט_טות
התפעל 	הווה	שלישי	זכר 	רבים	מ_סתו_ט_טימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_סתו_ט_טות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_סתו_ט_ט
התפעל 	עתיד	ראשון	נקבה	יחיד	א_סתו_ט_ט
התפעל 	עתיד	שני 	זכר 	יחיד	ת_סתו_ט_ט
התפעל 	עתיד	שני 	נקבה	יחיד	ת_סתו_ט_טי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_סתו_ט_ט
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_סתו_ט_ט
התפעל 	עתיד	ראשון	זכר 	רבים	נ_סתו_ט_ט
התפעל 	עתיד	ראשון	נקבה	רבים	נ_סתו_ט_ט
התפעל 	עתיד	שני 	זכר 	רבים	ת_סו_ט_טו
התפעל 	עתיד	שני 	נקבה	רבים	ת_סתו_ט_טנה
התפעל 	עתיד	שלישי	זכר 	רבים	י_סתו_ט_טו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_סתו_ט_טנה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_סתו_ט_ט
התפעל 	ציווי	שני 	נקבה	יחיד	ה_סתו_ט_טי
התפעל 	ציווי	שני 	זכר 	רבים	ה_סתו_ט_טו
התפעל 	ציווי	שני 	נקבה	רבים	ה_סתו_ט_טנה
